iter	Passed	Remaining
0	169	169345
1	173	86567
2	177	58828
3	180	44827
4	183	36417
5	187	31065
6	190	27015
7	193	23978
8	196	21607
9	199	19712
10	203	18274
11	207	17089
12	212	16103
13	215	15184
14	220	14505
15	223	13759
16	226	13108
17	229	12533
18	233	12070
19	236	11609
20	239	11184
21	242	10792
22	245	10441
23	249	10142
24	252	9848
25	255	9569
26	260	9374
27	263	9138
28	268	8980
29	271	8771
30	275	8598
31	278	8430
32	284	8325
33	288	8184
34	291	8030
35	293	7857
36	296	7718
37	301	7638
38	304	7506
39	307	7379
40	310	7258
41	314	7178
42	318	7080
43	321	6976
44	324	6879
45	330	6856
46	334	6777
47	337	6691
48	340	6605
49	343	6521
50	347	6473
51	351	6403
52	354	6326
53	357	6254
54	360	6187
55	365	6158
56	368	6101
57	371	6041
58	374	5979
59	379	5944
60	382	5895
61	386	5848
62	389	5798
63	393	5758
64	396	5709
65	399	5659
66	402	5610
67	405	5561
68	408	5512
69	412	5481
70	415	5439
71	418	5396
72	421	5353
73	424	5312
74	428	5285
75	431	5249
76	434	5210
77	437	5172
78	440	5134
79	444	5110
80	447	5076
81	450	5040
82	453	5005
83	456	4975
84	460	4955
85	463	4924
86	466	4894
87	469	4864
88	472	4835
89	476	4822
90	480	4803
91	483	4775
92	486	4748
93	490	4730
94	494	4708
95	497	4683
96	500	4658
97	503	4631
98	507	4616
99	510	4593
100	513	4569
101	516	4545
102	519	4521
103	523	4508
104	526	4485
105	529	4463
106	532	4440
107	535	4419
108	539	4407
109	542	4386
110	544	4364
111	547	4344
112	550	4323
113	554	4313
114	558	4295
115	561	4276
116	564	4259
117	567	4240
118	571	4233
119	575	4219
120	578	4205
121	581	4186
122	584	4169
123	589	4163
124	592	4148
125	595	4134
126	598	4116
127	603	4108
128	606	4092
129	609	4076
130	612	4060
131	615	4044
132	619	4035
133	622	4024
134	626	4015
135	630	4003
136	635	4001
137	639	3991
138	642	3977
139	644	3962
140	647	3946
141	652	3939
142	655	3925
143	657	3910
144	660	3896
145	663	3882
146	667	3874
147	671	3865
148	674	3852
149	677	3839
150	680	3827
151	684	3821
152	687	3807
153	690	3795
154	693	3783
155	697	3773
156	701	3765
157	704	3752
158	706	3739
159	710	3728
160	713	3718
161	716	3708
162	719	3696
163	723	3685
164	725	3673
165	729	3664
166	732	3653
167	735	3641
168	738	3630
169	741	3618
170	744	3607
171	748	3602
172	751	3590
173	754	3579
174	756	3568
175	759	3556
176	763	3551
177	766	3540
178	769	3530
179	772	3519
180	775	3509
181	780	3506
182	783	3498
183	786	3488
184	789	3477
185	792	3468
186	796	3461
187	799	3451
188	802	3441
189	804	3431
190	810	3431
191	813	3425
192	816	3416
193	819	3406
194	822	3397
195	827	3394
196	830	3385
197	833	3376
198	836	3367
199	839	3358
200	843	3353
201	846	3344
202	849	3335
203	852	3327
204	855	3318
205	859	3313
206	863	3306
207	867	3301
208	870	3294
209	875	3293
210	882	3298
211	887	3299
212	894	3304
213	898	3300
214	901	3292
215	904	3283
216	909	3282
217	912	3273
218	915	3264
219	918	3255
220	923	3253
